ID	Title	Game	Author	Version	Date	Tags	Description	Update	Embed	URL	Text	Icon	Source	Thread	Alt URL	Alt Text	Alt Icon	Guide URL	Guide Text		
p4adachinavi	P4 Adachi Navigator	P4	ShrineFox	1	1/3/2016	"Voice Clips, HUD, UI, Text"	A mod that replaces Teddie's navigator dialog with Tohru Adachi's clips from Persona 4 Arena Ultimax.	 	https://www.youtube.com/watch?v=nukx1gSCF4c	https://drive.google.com/open?id=1nrml3H3qFUfZUarUEyvEno-2xqKfofF1	Mod	folder-open	 	 	 	 	 	 	 		
p3adachi	P3FES Playable Adachi	P3FES	ShrineFox	2	2/1/2016	"Player Model, Voice Clips, HUD, UI, Text, Personas"	"- Changes Models, Graphics and Music to suit Tohru Adachi. Includes custom HUD icons, pause screen renders and cut-ins. Magatsu Izanagi imported over Thanatos, new Magatsu Orpheus design and misc music tracks replaced"	 	https://www.youtube.com/watch?v=wmJzWce0C6w	https://drive.google.com/open?id=1VbGsgYLoX-bZbFEEbm1_pF0Q6LNmAlXD	Mod	folder-open	 	 	 	 	 	 	 		
420yosuke	Persona 420 (Weed Yosuke)	P4	ShrineFox	1	4/20/2016	"Party Model, Voice Clips"	A mod for Persona 4 that replaces Yosuke Hanamura's voice clips and textures with ones from Yuri Lowenthal's performance in GTA V.	 	https://www.youtube.com/watch?v=SEDpQy5EPR4	https://drive.google.com/open?id=1u9V3TuTqRccKikIjEXayBLKkkRdUgjUV	Mod	folder-open	 	 	 	 	 	 	 		
p3paltmodels	Alternate Playable Character Models	P3P	I Am Me	1	6/29/2016	"Party Model, Player Model"	A collection of party member model replacements for use with the Mod Compendium.	 	http://i.imgur.com/1BpZnui.png	https://drive.google.com/open?id=1tSKl9GYR7tbERDEyFaY5XQjagXdcptGM	Mod Pack	archive-o	 	 	 	 	 	 	 		
p4gshinji	Shinji as Protagonist	P4G	I Am Me	1	6/29/2016	Player Model	Shinji model from P3P with edited animations for use as a MC replacement.	 	https://www.youtube.com/watch?v=Ym9pMLQMkd8	https://drive.google.com/open?id=1m5GmIHA9ThY5E__Zci2v9EtS58rlBihG	(Vita)	folder-open	 	 	 	 	 	 	 		
p4gfemc	FEMC as Protagonist	P4G	I Am Me	1	6/29/2016	Player Model	FEMC model from P3P with edited animations for use as a MC replacement.	 	https://www.youtube.com/watch?v=OflMoL8o7Uk	https://drive.google.com/open?id=1L48D_GUSJoPl6fSIb6oAYMycFeXQvJ_v	(Vita)	folder-open	 	 	 	 	 	 	 		
nonavi	No Navigator Mod	P5	ShrineFox	1	4/22/2017	Voice Clips	"Modified ACB/AWB files that prevent Morgana, Futaba, and Makoto's navigator clips from playing in-battle."	 	https://www.youtube.com/watch?v=TzrBuuXUBh4	https://drive.google.com/open?id=0B3-7m2SbyW5QLUlpQzR0aEJRTzQ	mod.cpk	folder-open	 	 	 	 	 	 	 		
p3post	P3P Music in FES	P3FES	Evanjellydonut	1	5/1/2017	BGM	A mod that replaces some of the OST tracks to match the female protagonist's BGM from the PSP version of the game.	 	 	https://drive.google.com/open?id=1NuA4TgvxHsUNd-ePC0nwvE4i6nF7_km8	Mod	folder-open	 	 	 	 	 	 	 		
p3deinterlaced	Deinterlaced Cutscenes (The Second?)	P3FES	ARandomGuy231	0.2	1/11/2021	FMV	This mod replaces the FMVs in the game with Deinterlaced ones.	 	https://screenshots.gamebanana.com/img/ss/wips/5fe5a6744ca55.jpg	https://gamebanana.com/wips/52854	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=11&p=3026#p3026	 	 	 	 	 		
facilityvoices	Less Annoying Facility Voices	P5	ShrineFox	1	5/4/2017	Voice Clips	Modified ACB/AWB files that mitigate Iwai and the Velvet Room Warden's most overused voice clips.	 	https://www.youtube.com/watch?v=roQsdmktYuw	https://drive.google.com/file/d/1Q4ePCdNucKHSfYR7HooYbWHGqryF9Mjq/view	Mod	folder-open	 	 	 	 	 	 	 		
comicsans	Comic Sans Font	P5	ShrineFox	1	5/15/2017	"Font, HUD, UI"	"Modifies the main font of the game to use comic sans. Some might find this option more legible, all jokes aside."	 	https://www.youtube.com/watch?v=SFEkR4eiL1c	https://drive.google.com/file/d/1ER0hO9NloxqGhDfByM7FT7ytNYAxYUEP/view?usp=sharing	Mod	folder-open	 	 	 	 	 	 	 		
p5font	P5 Font for P4	P4	narcku	1	5/16/2017	"Font, HUD, UI"	A mod that replaces P4's font with a custom one made from Persona 5's font.	 	 	https://drive.google.com/open?id=1KbT09puwdQG4zfcbnvlP6TYZMPXDMo-A	Mod	folder-open	 	 	 	 	 	 	 		
